year,age_group,gender,area_code,area_name,pop_estimate
1996,All ages,Persons,W06000011,Swansea,227199
1996,All ages,Persons,W06000012,Neath Port Talbot,137327
1996,All ages,Persons,W06000013,Bridgend,128667
1996,All ages,Persons,W06000014,Vale of Glamorgan,116327
1996,All ages,Persons,W06000015,Cardiff,305345
1996,All ages,Persons,W06000016,Rhondda Cynon Taf,235369
1996,All ages,Persons,W06000018,Caerphilly,167385
1996,All ages,Persons,W06000019,Blaenau Gwent,72289
1996,All ages,Persons,W06000020,Torfaen,91268
1996,All ages,Persons,W06000021,Monmouthshire,85209
1996,All ages,Persons,W06000022,Newport,134707
1996,All ages,Persons,W06000023,Powys,123954
1996,All ages,Persons,W06000024,Merthyr Tydfil,58132
1997,All ages,Persons,W06000001,Isle of Anglesey,68109
1997,All ages,Persons,W06000002,Gwynedd,117606
1997,All ages,Persons,W06000003,Conwy,108174
1997,All ages,Persons,W06000004,Denbighshire,90616
1997,All ages,Persons,W06000005,Flintshire,144643
1997,All ages,Persons,W06000006,Wrexham,125637
1997,All ages,Persons,W06000008,Ceredigion,71807
1997,All ages,Persons,W06000009,Pembrokeshire,111640
1997,All ages,Persons,W06000010,Carmarthenshire,171534
1997,All ages,Persons,W06000011,Swansea,226764
1997,All ages,Persons,W06000012,Neath Port Talbot,136679
1997,All ages,Persons,W06000013,Bridgend,127996
1997,All ages,Persons,W06000014,Vale of Glamorgan,116950
1997,All ages,Persons,W06000015,Cardiff,307321
1997,All ages,Persons,W06000016,Rhondda Cynon Taf,236043
1997,All ages,Persons,W06000018,Caerphilly,167532
1997,All ages,Persons,W06000019,Blaenau Gwent,72031
1997,All ages,Persons,W06000020,Torfaen,91364
1997,All ages,Persons,W06000021,Monmouthshire,85209
1997,All ages,Persons,W06000022,Newport,135241
1997,All ages,Persons,W06000023,Powys,124604
1997,All ages,Persons,W06000024,Merthyr Tydfil,57371
1998,All ages,Persons,W06000001,Isle of Anglesey,67692
1998,All ages,Persons,W06000002,Gwynedd,117384
1998,All ages,Persons,W06000003,Conwy,108470
1998,All ages,Persons,W06000004,Denbighshire,90951
1998,All ages,Persons,W06000005,Flintshire,146261
1998,All ages,Persons,W06000006,Wrexham,126178
1998,All ages,Persons,W06000008,Ceredigion,72518
1998,All ages,Persons,W06000009,Pembrokeshire,111814
1998,All ages,Persons,W06000010,Carmarthenshire,172039
1998,All ages,Persons,W06000011,Swansea,225702
1998,All ages,Persons,W06000012,Neath Port Talbot,136085
1998,All ages,Persons,W06000013,Bridgend,128652
1998,All ages,Persons,W06000014,Vale of Glamorgan,118297
1998,All ages,Persons,W06000015,Cardiff,308601
1998,All ages,Persons,W06000016,Rhondda Cynon Taf,234474
1998,All ages,Persons,W06000018,Caerphilly,167921
1998,All ages,Persons,W06000019,Blaenau Gwent,71292
1998,All ages,Persons,W06000020,Torfaen,91355
1998,All ages,Persons,W06000021,Monmouthshire,83921
1998,All ages,Persons,W06000022,Newport,137328
1998,All ages,Persons,W06000023,Powys,125438
1998,All ages,Persons,W06000024,Merthyr Tydfil,57148
1999,All ages,Persons,W06000001,Isle of Anglesey,67978
1999,All ages,Persons,W06000002,Gwynedd,116362
1999,All ages,Persons,W06000003,Conwy,108322
1999,All ages,Persons,W06000004,Denbighshire,91509
1999,All ages,Persons,W06000005,Flintshire,146824
1999,All ages,Persons,W06000006,Wrexham,126907
1999,All ages,Persons,W06000008,Ceredigion,74046
1999,All ages,Persons,W06000009,Pembrokeshire,111667
1999,All ages,Persons,W06000010,Carmarthenshire,172329
1999,All ages,Persons,W06000011,Swansea,225080
1999,All ages,Persons,W06000012,Neath Port Talbot,135356
1999,All ages,Persons,W06000013,Bridgend,128585
1999,All ages,Persons,W06000014,Vale of Glamorgan,117944
1999,All ages,Persons,W06000015,Cardiff,310320
1999,All ages,Persons,W06000016,Rhondda Cynon Taf,233904
1999,All ages,Persons,W06000018,Caerphilly,168566
1999,All ages,Persons,W06000019,Blaenau Gwent,71028
1999,All ages,Persons,W06000020,Torfaen,91129
1999,All ages,Persons,W06000021,Monmouthshire,83980
1999,All ages,Persons,W06000022,Newport,136615
1999,All ages,Persons,W06000023,Powys,125632
1999,All ages,Persons,W06000024,Merthyr Tydfil,56516
2000,All ages,Persons,W06000001,Isle of Anglesey,67898
2000,All ages,Persons,W06000002,Gwynedd,116699
2000,All ages,Persons,W06000003,Conwy,108651
2000,All ages,Persons,W06000004,Denbighshire,92525
2000,All ages,Persons,W06000005,Flintshire,147930
2000,All ages,Persons,W06000006,Wrexham,127653
2000,All ages,Persons,W06000008,Ceredigion,74942
2000,All ages,Persons,W06000009,Pembrokeshire,112538
2000,All ages,Persons,W06000010,Carmarthenshire,172874
2000,All ages,Persons,W06000011,Swansea,224475
2000,All ages,Persons,W06000012,Neath Port Talbot,134834
2000,All ages,Persons,W06000013,Bridgend,128224
2000,All ages,Persons,W06000014,Vale of Glamorgan,119276
2000,All ages,Persons,W06000015,Cardiff,311443
2000,All ages,Persons,W06000016,Rhondda Cynon Taf,232370
2000,All ages,Persons,W06000018,Caerphilly,169045
2000,All ages,Persons,W06000019,Blaenau Gwent,70537
2000,All ages,Persons,W06000020,Torfaen,91214
2000,All ages,Persons,W06000021,Monmouthshire,84458
2000,All ages,Persons,W06000022,Newport,136932
2000,All ages,Persons,W06000023,Powys,126134
2000,All ages,Persons,W06000024,Merthyr Tydfil,56218
2001,All ages,Persons,W06000001,Isle of Anglesey,67806
2001,All ages,Persons,W06000002,Gwynedd,116844
2001,All ages,Persons,W06000003,Conwy,109674
2001,All ages,Persons,W06000004,Denbighshire,93070
2001,All ages,Persons,W06000005,Flintshire,148629
2001,All ages,Persons,W06000006,Wrexham,128540
2001,All ages,Persons,W06000008,Ceredigion,75417
2001,All ages,Persons,W06000009,Pembrokeshire,113058
2001,All ages,Persons,W06000010,Carmarthenshire,173652
2001,All ages,Persons,W06000011,Swansea,223463
2001,All ages,Persons,W06000012,Neath Port Talbot,134380
2001,All ages,Persons,W06000013,Bridgend,128735
2001,All ages,Persons,W06000014,Vale of Glamorgan,119277
2001,All ages,Persons,W06000015,Cardiff,310088
2001,All ages,Persons,W06000016,Rhondda Cynon Taf,231910
2001,All ages,Persons,W06000018,Caerphilly,169546
2001,All ages,Persons,W06000019,Blaenau Gwent,70000
2001,All ages,Persons,W06000020,Torfaen,90912
2001,All ages,Persons,W06000021,Monmouthshire,84984
2001,All ages,Persons,W06000022,Newport,137642
2001,All ages,Persons,W06000023,Powys,126398
2001,All ages,Persons,W06000024,Merthyr Tydfil,56207
2002,All ages,Persons,W06000001,Isle of Anglesey,67879
2002,All ages,Persons,W06000002,Gwynedd,117344
2002,All ages,Persons,W06000003,Conwy,110624
2002,All ages,Persons,W06000004,Denbighshire,93478
2002,All ages,Persons,W06000005,Flintshire,148947
2002,All ages,Persons,W06000006,Wrexham,128595
2002,All ages,Persons,W06000008,Ceredigion,75500
2002,All ages,Persons,W06000009,Pembrokeshire,114146
2002,All ages,Persons,W06000010,Carmarthenshire,174628
2002,All ages,Persons,W06000011,Swansea,224755
2002,All ages,Persons,W06000012,Neath Port Talbot,134931
2002,All ages,Persons,W06000013,Bridgend,129741
2002,All ages,Persons,W06000014,Vale of Glamorgan,120279
2002,All ages,Persons,W06000015,Cardiff,312021
2002,All ages,Persons,W06000016,Rhondda Cynon Taf,231795
2002,All ages,Persons,W06000018,Caerphilly,170776
2002,All ages,Persons,W06000019,Blaenau Gwent,69452
2002,All ages,Persons,W06000020,Torfaen,90700
2002,All ages,Persons,W06000021,Monmouthshire,85417
2002,All ages,Persons,W06000022,Newport,138727
2002,All ages,Persons,W06000023,Powys,127145
2002,All ages,Persons,W06000024,Merthyr Tydfil,55996
2003,All ages,Persons,W06000001,Isle of Anglesey,68140
2003,All ages,Persons,W06000002,Gwynedd,118022
2003,All ages,Persons,W06000003,Conwy,111248
2003,All ages,Persons,W06000004,Denbighshire,93872
2003,All ages,Persons,W06000005,Flintshire,149176
2003,All ages,Persons,W06000006,Wrexham,128914
2003,All ages,Persons,W06000008,Ceredigion,75581
2003,All ages,Persons,W06000009,Pembrokeshire,115147
2003,All ages,Persons,W06000010,Carmarthenshire,176133
2003,All ages,Persons,W06000011,Swansea,226350
2003,All ages,Persons,W06000012,Neath Port Talbot,136233
2003,All ages,Persons,W06000013,Bridgend,131032
2003,All ages,Persons,W06000014,Vale of Glamorgan,120980
2003,All ages,Persons,W06000015,Cardiff,313246
2003,All ages,Persons,W06000016,Rhondda Cynon Taf,232361
2003,All ages,Persons,W06000018,Caerphilly,171363
2003,All ages,Persons,W06000019,Blaenau Gwent,69228
2003,All ages,Persons,W06000020,Torfaen,90719
2003,All ages,Persons,W06000021,Monmouthshire,86605
2003,All ages,Persons,W06000022,Newport,139121
2003,All ages,Persons,W06000023,Powys,128295
2003,All ages,Persons,W06000024,Merthyr Tydfil,55955
2004,All ages,Persons,W06000001,Isle of Anglesey,68753
2004,All ages,Persons,W06000002,Gwynedd,118721
2004,All ages,Persons,W06000003,Conwy,112272
2004,All ages,Persons,W06000004,Denbighshire,94010
2004,All ages,Persons,W06000005,Flintshire,149681
2004,All ages,Persons,W06000006,Wrexham,129005
2004,All ages,Persons,W06000008,Ceredigion,75775
2004,All ages,Persons,W06000009,Pembrokeshire,116428
2004,All ages,Persons,W06000010,Carmarthenshire,177487
2004,All ages,Persons,W06000011,Swansea,228176
2004,All ages,Persons,W06000012,Neath Port Talbot,137144
2004,All ages,Persons,W06000013,Bridgend,131947
2004,All ages,Persons,W06000014,Vale of Glamorgan,122101
2004,All ages,Persons,W06000015,Cardiff,317099
2004,All ages,Persons,W06000016,Rhondda Cynon Taf,233971
2004,All ages,Persons,W06000018,Caerphilly,172361
2004,All ages,Persons,W06000019,Blaenau Gwent,69242
2004,All ages,Persons,W06000020,Torfaen,90516
2004,All ages,Persons,W06000021,Monmouthshire,87829
2004,All ages,Persons,W06000022,Newport,139316
2004,All ages,Persons,W06000023,Powys,129568
2004,All ages,Persons,W06000024,Merthyr Tydfil,56020
2005,All ages,Persons,W06000001,Isle of Anglesey,69095
2005,All ages,Persons,W06000002,Gwynedd,118641
2005,All ages,Persons,W06000003,Conwy,112374
2005,All ages,Persons,W06000004,Denbighshire,93978
2005,All ages,Persons,W06000005,Flintshire,149890
2005,All ages,Persons,W06000006,Wrexham,129249
2005,All ages,Persons,W06000008,Ceredigion,75485
2005,All ages,Persons,W06000009,Pembrokeshire,117204
2005,All ages,Persons,W06000010,Carmarthenshire,178229
2005,All ages,Persons,W06000011,Swansea,229347
2005,All ages,Persons,W06000012,Neath Port Talbot,137670
2005,All ages,Persons,W06000013,Bridgend,132893
2005,All ages,Persons,W06000014,Vale of Glamorgan,122877
2005,All ages,Persons,W06000015,Cardiff,321001
2005,All ages,Persons,W06000016,Rhondda Cynon Taf,234070
2005,All ages,Persons,W06000018,Caerphilly,172777
2005,All ages,Persons,W06000019,Blaenau Gwent,69188
2005,All ages,Persons,W06000020,Torfaen,90644
2005,All ages,Persons,W06000021,Monmouthshire,88611
2005,All ages,Persons,W06000022,Newport,139617
2005,All ages,Persons,W06000023,Powys,130210
2005,All ages,Persons,W06000024,Merthyr Tydfil,56259
2006,All ages,Persons,W06000001,Isle of Anglesey,69388
2006,All ages,Persons,W06000002,Gwynedd,119070
2006,All ages,Persons,W06000003,Conwy,113004
2006,All ages,Persons,W06000004,Denbighshire,93983
2006,All ages,Persons,W06000005,Flintshire,150125
2006,All ages,Persons,W06000006,Wrexham,130311
2006,All ages,Persons,W06000008,Ceredigion,75342
2006,All ages,Persons,W06000009,Pembrokeshire,118278
2006,All ages,Persons,W06000010,Carmarthenshire,179504
2006,All ages,Persons,W06000011,Swansea,230793
2006,All ages,Persons,W06000012,Neath Port Talbot,138323
2006,All ages,Persons,W06000013,Bridgend,134164
2006,All ages,Persons,W06000014,Vale of Glamorgan,123642
2006,All ages,Persons,W06000015,Cardiff,323766
2006,All ages,Persons,W06000016,Rhondda Cynon Taf,234493
2006,All ages,Persons,W06000018,Caerphilly,173741
2006,All ages,Persons,W06000019,Blaenau Gwent,69610
2006,All ages,Persons,W06000020,Torfaen,90820
2006,All ages,Persons,W06000021,Monmouthshire,89090
2006,All ages,Persons,W06000022,Newport,140557
2006,All ages,Persons,W06000023,Powys,131037
2006,All ages,Persons,W06000024,Merthyr Tydfil,56627
2007,All ages,Persons,W06000001,Isle of Anglesey,69700
2007,All ages,Persons,W06000002,Gwynedd,119398
2007,All ages,Persons,W06000003,Conwy,113778
2007,All ages,Persons,W06000004,Denbighshire,94530
2007,All ages,Persons,W06000005,Flintshire,150816
2007,All ages,Persons,W06000006,Wrexham,131263
2007,All ages,Persons,W06000008,Ceredigion,75326
2007,All ages,Persons,W06000009,Pembrokeshire,119640
2007,All ages,Persons,W06000010,Carmarthenshire,181314
2007,All ages,Persons,W06000011,Swansea,232460
2007,All ages,Persons,W06000012,Neath Port Talbot,138957
2007,All ages,Persons,W06000013,Bridgend,135949
2007,All ages,Persons,W06000014,Vale of Glamorgan,124732
2007,All ages,Persons,W06000015,Cardiff,328196
2007,All ages,Persons,W06000016,Rhondda Cynon Taf,234471
2007,All ages,Persons,W06000018,Caerphilly,174987
2007,All ages,Persons,W06000019,Blaenau Gwent,69685
2007,All ages,Persons,W06000020,Torfaen,90974
